width,height,subject_nr,avatar_file,gender,other_ratee,block_nr,rater_name,rater_file,ratee_type,ratee_name,ratee_file,liking,trial_nr,positive_left,positive_correct,pos_word,neg_word,correct_word,left_word,right_word,response,choice,chose_positive,accuracy,t_start_experiment,t_start_block,t_start_trial,t_response,likes_on_left,evaluation,t_ask_eval,t_eval_resp,rater_avatar,ratee_avatar
1536,864,6662666,female5,f,,0,Tom,,you,Lucy,female10,like,0,1,1,studious,aimless,studious,studious,aimless,26,studious,true,true,1633212684713,1633212684714,1633212692233,1633212696106,,,,,male14,
1536,864,6662666,female5,f,,0,Tom,,you,Lucy,female10,like,1,0,1,charming,cruel,charming,cruel,charming,100,charming,true,true,1633212684713,1633212684714,1633212697561,1633212700561,,,,,male14,
1536,864,6662666,female5,f,,0,Tom,,you,Lucy,female10,like,2,0,1,eager,passive,eager,passive,eager,100,eager,true,true,1633212684713,1633212684714,1633212701865,1633212705737,,,,,male14,
1536,864,6662666,female5,f,,0,Tom,,you,Lucy,female10,like,3,1,1,gentle,stern,gentle,gentle,stern,0,gentle,true,true,1633212684713,1633212684714,1633212706593,1633212710425,,,,,male14,
1536,864,6662666,female5,f,,0,Tom,,you,Lucy,female10,like,4,1,1,tidy,wasteful,tidy,tidy,wasteful,0,tidy,true,true,1633212684713,1633212684714,1633212711169,1633212713785,,,,,male14,
1536,864,6662666,female5,f,,0,Tom,,you,Lucy,female10,like,5,1,1,efficient,meek,efficient,efficient,meek,0,efficient,true,true,1633212684713,1633212684714,1633212714697,1633212717097,,,,,male14,
1536,864,6662666,female5,f,,0,Tom,,you,Lucy,female10,like,6,1,1,clever,inaccurate,clever,clever,inaccurate,0,clever,true,true,1633212684713,1633212684714,1633212717785,1633212719569,,,,,male14,
1536,864,6662666,female5,f,,0,Tom,,you,Lucy,female10,like,7,1,1,wise,naive,wise,wise,naive,0,wise,true,true,1633212684713,1633212684714,1633212720321,1633212721945,,,,,male14,
1536,864,6662666,female5,f,,0,Tom,,you,Lucy,female10,like,8,0,1,artistic,shallow,artistic,shallow,artistic,100,artistic,true,true,1633212684713,1633212684714,1633212722690,1633212726657,,,,,male14,
1536,864,6662666,female5,f,,0,Tom,,you,Lucy,female10,like,9,1,1,vivacious,unpopular,vivacious,vivacious,unpopular,0,vivacious,true,true,1633212684713,1633212684714,1633212727441,1633212733336,,,,,male14,
1536,864,6662666,female5,f,,0,Tom,,you,Lucy,female10,like,10,1,1,attentive,jealous,attentive,attentive,jealous,0,attentive,true,true,1633212684713,1633212684714,1633212734048,1633212736744,,,,,male14,
1536,864,6662666,female5,f,,0,Tom,,you,Lucy,female10,like,11,1,1,generous,selfish,generous,generous,selfish,2,generous,true,true,1633212684713,1633212684714,1633212737504,1633212739528,,,,,male14,
1536,864,6662666,female5,f,,0,Tom,,you,Lucy,female10,like,12,0,1,upright,tense,upright,tense,upright,100,upright,true,true,1633212684713,1633212684714,1633212740240,1633212744184,,,,,male14,
1536,864,6662666,female5,f,,0,Tom,,you,Lucy,female10,like,13,1,1,optimistic,melancholy,optimistic,optimistic,melancholy,100,melancholy,false,false,1633212684713,1633212684714,1633212744945,1633212747200,,,,,male14,
1536,864,6662666,female5,f,,0,Tom,,you,Lucy,female10,like,14,0,1,honest,liar,honest,liar,honest,100,honest,true,true,1633212684713,1633212684714,1633212748024,1633212753104,,,,,male14,
1536,864,6662666,female5,f,,0,Tom,,you,Lucy,female10,like,15,1,1,reliable,reckless,reliable,reliable,reckless,0,reliable,true,true,1633212684713,1633212684714,1633212753856,1633212756248,,,,,male14,
1536,864,6662666,female5,f,,0,Tom,,you,Lucy,female10,like,16,1,1,sincere,critical,sincere,sincere,critical,2,sincere,true,true,1633212684713,1633212684714,1633212757008,1633212759488,,,,,male14,
