"ptID","posiSelf","posiOther","dEvSelf","dEvOther","aEvSelf","aEvOther","alphaPrec","genLR","repLR","wp0","wAttr","mem","LL"
660001.000000,0.776499,0.615562,5.440944,5.440944,2.000008,2.000008,6.384275,0.100002,0.506111,1.125914,4.526231,0.999004,-57.849396
660002.000000,0.882367,0.432091,18.711905,18.711905,2.000010,2.000010,8.455227,0.100006,0.250151,-0.694897,3.177818,0.999008,-43.806074
660003.000000,0.719876,0.677469,4.111291,4.111291,1.999991,1.999991,4.916589,0.100001,0.091492,0.938587,7.924448,0.999002,-75.216749
660004.000000,0.828806,0.552259,2.261846,2.261846,1.999999,1.999999,6.287192,0.100006,0.287537,0.323959,4.093396,0.998996,-46.687066
660005.000000,0.746172,0.506194,25.379418,25.379418,1.999998,1.999998,6.160602,0.099999,0.376539,-0.254529,4.787445,0.998993,-54.085151
660006.000000,0.726181,0.513888,6.390292,6.390292,2.000001,2.000001,7.104304,0.100000,0.634911,0.697571,9.228211,0.999008,-73.293317
660007.000000,0.670138,0.499389,2.562307,2.562307,1.999995,1.999995,6.729405,0.100000,0.284971,0.170734,2.056455,0.998998,-45.500455
660008.000000,0.883597,0.525088,4.479034,4.479034,1.999999,1.999999,7.496028,0.099998,0.208442,-0.123771,7.996960,0.999004,-51.582597
660009.000000,0.599836,0.462668,2.409852,2.409852,2.000006,2.000006,6.939767,0.099999,0.269016,-0.691885,2.718321,0.999001,-49.857388
660010.000000,0.664951,0.291897,4.998613,4.998613,2.000001,2.000001,8.522820,0.100000,0.265334,-0.205053,5.550496,0.999003,-48.911076
660011.000000,0.575578,0.702917,2.556202,2.556202,2.000000,2.000000,6.791413,0.100008,0.218966,1.999158,4.340478,0.998996,-42.279137
660012.000000,0.918513,0.564415,7.372447,7.372447,2.000001,2.000001,5.936394,0.099993,0.189199,0.121624,7.888152,0.999006,-66.294079
660013.000000,0.770656,0.719964,64.835600,64.835600,2.000003,2.000003,8.368459,0.099998,0.393115,-0.590488,4.195532,0.998996,-52.646466
660014.000000,0.629355,0.800841,7.663150,7.663150,1.999998,1.999998,8.472923,0.099998,0.284832,0.409185,2.849421,0.998998,-48.730293
660015.000000,0.896439,0.585862,17.770209,17.770209,2.000006,2.000006,7.822992,0.100001,0.404503,-0.670724,8.061829,0.998989,-67.583636
660016.000000,0.516154,0.507019,8.384032,8.384032,1.999992,1.999992,8.101731,0.100000,0.153495,-0.630731,2.608124,0.998996,-41.942859
