"ptID","posiSelf","posiOther","dEvSelf","dEvOther","aEvSelf","aEvOther","alphaPrec","genLR","repLR","wp0","wAttr","mem","LL"
660001.000000,1.245377,0.470754,1.693953,1.693953,0.693151,0.693151,1.853838,-2.197203,0.024444,1.125914,4.526231,6.910670,-57.849396
660002.000000,2.015039,-0.273324,2.929160,2.929160,0.693152,0.693152,2.134785,-2.197154,-1.097808,-0.694897,3.177818,6.914736,-43.806074
660003.000000,0.943846,0.742166,1.413737,1.413737,0.693143,0.693143,1.592615,-2.197209,-2.295554,0.938587,7.924448,6.908346,-75.216749
660004.000000,1.577190,0.209801,0.816181,0.816181,0.693147,0.693147,1.838515,-2.197154,-0.907375,0.323959,4.093396,6.902329,-46.687066
660005.000000,1.078298,0.024777,3.233939,3.233939,0.693146,0.693146,1.818175,-2.197237,-0.504264,-0.254529,4.787445,6.899407,-54.085151
660006.000000,0.975331,0.055567,1.854780,1.854780,0.693148,0.693148,1.960701,-2.197225,0.553343,0.697571,9.228211,6.915146,-73.293317
660007.000000,0.708810,-0.002445,0.940908,0.940908,0.693145,0.693145,1.906487,-2.197230,-0.919935,0.170734,2.056455,6.905151,-45.500455
660008.000000,2.026940,0.100435,1.499407,1.499407,0.693147,0.693147,2.014373,-2.197246,-1.334345,-0.123771,7.996960,6.911033,-51.582597
660009.000000,0.404784,-0.149608,0.879565,0.879565,0.693150,0.693150,1.937268,-2.197238,-0.999623,-0.691885,2.718321,6.907729,-49.857388
660010.000000,0.685436,-0.886187,1.609160,1.609160,0.693148,0.693148,2.142747,-2.197220,-1.018426,-0.205053,5.550496,6.909536,-48.911076
660011.000000,0.304647,0.861229,0.938522,0.938522,0.693147,0.693147,1.915659,-2.197132,-1.271701,1.999158,4.340478,6.903193,-42.279137
660012.000000,2.422310,0.259099,1.997750,1.997750,0.693148,0.693148,1.781102,-2.197306,-1.455224,0.121624,7.888152,6.912918,-66.294079
660013.000000,1.212020,0.944285,4.171855,4.171855,0.693149,0.693149,2.124470,-2.197241,-0.434239,-0.590488,4.195532,6.902470,-52.646466
660014.000000,0.529451,1.391556,2.036423,2.036423,0.693146,0.693146,2.136876,-2.197242,-0.920619,0.409185,2.849421,6.905016,-48.730293
660015.000000,2.158268,0.346886,2.877523,2.877523,0.693150,0.693150,2.057067,-2.197218,-0.386737,-0.670724,8.061829,6.896153,-67.583636
660016.000000,0.064639,0.028079,2.126329,2.126329,0.693143,0.693143,2.092078,-2.197229,-1.707451,-0.630731,2.608124,6.902572,-41.942859
660017.000000,0.812615,0.238961,1.747248,1.747248,0.693147,0.693147,1.842521,-2.197215,-0.238584,0.593648,3.995901,6.907541,-61.202324
660018.000000,0.790843,0.028321,1.953569,1.953569,0.693150,0.693150,1.860419,-2.197214,-0.756449,-0.536216,1.237107,6.910701,-34.141938
660019.000000,1.149650,-0.031810,3.046459,3.046459,0.693148,0.693148,1.884664,-2.197249,-1.377200,-0.572154,11.889583,6.895313,-85.588652
660020.000000,1.075467,0.272688,1.221394,1.221394,0.693147,0.693147,2.024280,-2.197167,-1.036024,0.426552,9.426239,6.906254,-68.105378
660021.000000,0.519401,-0.536379,2.833305,2.833305,0.693146,0.693146,2.204944,-2.197221,-1.173191,-0.255498,3.730880,6.900429,-53.229701
660022.000000,1.289758,0.032845,2.674205,2.674205,0.693143,0.693143,2.016239,-2.197276,-1.965454,-0.059866,6.569890,6.912014,-62.368185
660023.000000,1.705055,0.056391,1.466466,1.466466,0.693155,0.693155,1.859993,-2.197264,-0.835776,-0.558816,3.353890,6.899107,-50.153127
660024.000000,0.765069,-0.363568,2.484211,2.484211,0.693148,0.693148,1.830601,-2.197246,-1.414422,0.180225,3.384239,6.908171,-65.855662
660025.000000,0.340500,0.599079,2.066484,2.066484,0.693142,0.693142,1.989271,-2.197172,-0.400095,0.216039,8.723145,6.910285,-82.904522
660026.000000,2.272972,0.418707,2.552001,2.552001,0.693148,0.693148,2.053111,-2.197178,-0.510459,-0.504228,1.792105,6.913521,-32.146937
660027.000000,1.527546,-0.205026,2.154025,2.154025,0.693152,0.693152,1.754842,-2.197206,-1.862341,0.182650,5.793840,6.905890,-68.706570
660028.000000,1.511990,0.193151,3.083923,3.083923,0.693150,0.693150,1.908055,-2.197210,-0.982422,0.653149,8.134774,6.910797,-76.310546
660029.000000,0.914033,-0.227703,1.225299,1.225299,0.693150,0.693150,2.303573,-2.197209,-1.136266,0.634929,0.830044,6.905503,-25.662209
660030.000000,-0.408958,0.509474,2.213013,2.213013,0.693148,0.693148,1.881631,-2.197329,-0.550312,-0.307075,5.473896,6.911585,-66.083894
660031.000000,1.270313,-0.193682,1.995943,1.995943,0.693147,0.693147,2.128483,-2.197153,-1.683855,-0.521468,5.351820,6.906799,-48.461618
660032.000000,1.027442,-0.318226,1.183526,1.183526,0.693147,0.693147,2.171169,-2.197189,-1.163861,-0.146892,2.223273,6.911329,-39.604897
660033.000000,1.454689,0.176675,2.482664,2.482664,0.693148,0.693148,2.117429,-2.197133,-2.068986,-0.101977,4.823807,6.900390,-41.066334
660034.000000,0.706244,0.725290,1.621412,1.621412,0.693142,0.693142,1.778686,-2.197209,-1.518833,0.641253,3.632063,6.907967,-68.065526
660035.000000,0.506396,0.623596,0.958588,0.958588,0.693151,0.693151,1.917981,-2.197232,-1.884604,0.079036,4.849522,6.900750,-58.791157
660036.000000,1.285386,1.397166,3.085903,3.085903,0.693147,0.693147,2.053008,-2.197213,-0.866784,-1.142262,2.762259,6.905377,-30.733812
660037.000000,1.309934,0.474002,2.114295,2.114295,0.693142,0.693142,1.708164,-2.197150,-1.022782,0.090324,4.182993,6.921397,-63.229153
660038.000000,0.448910,0.190003,2.594510,2.594510,0.693151,0.693151,1.933304,-2.197171,-0.550091,0.235082,1.745642,6.910841,-40.987663
660039.000000,0.963774,1.138758,1.560572,1.560572,0.693147,0.693147,1.868491,-2.197327,-1.676772,-1.078073,9.245957,6.908019,-92.672677
660040.000000,1.288038,0.384959,3.032258,3.032258,0.693151,0.693151,1.885632,-2.197278,-0.489532,1.409436,4.478039,6.902995,-56.990318
660041.000000,1.113518,-0.257692,1.606946,1.606946,0.693149,0.693149,1.917895,-2.197195,-1.375357,0.426577,5.880825,6.909405,-53.447665
660042.000000,1.661850,0.758217,1.034624,1.034624,0.693152,0.693152,1.740211,-2.197323,-0.571737,-0.381778,0.300291,6.906588,-44.863253
660043.000000,2.095386,0.770802,2.711520,2.711520,0.693145,0.693145,1.816010,-2.197173,-0.368449,0.738514,6.412337,6.901688,-66.414252
660044.000000,0.775235,0.958919,3.251496,3.251496,0.693148,0.693148,1.975765,-2.197205,-1.355957,0.590992,5.611147,6.909217,-72.353655
660045.000000,0.805580,0.453934,1.734353,1.734353,0.693151,0.693151,1.909438,-2.197185,-2.166123,0.674951,4.138586,6.909975,-57.429477
660046.000000,0.625232,0.657911,1.799360,1.799360,0.693146,0.693146,1.790208,-2.197308,-0.859035,0.740598,5.443684,6.903551,-66.480947
660047.000000,0.153985,-0.272824,3.533154,3.533154,0.693147,0.693147,1.769663,-2.197287,-1.504561,-0.044111,10.107071,6.907060,-101.211556
660048.000000,0.087925,-0.133009,1.455994,1.455994,0.693151,0.693151,2.308737,-2.197138,-1.282905,0.804390,4.937623,6.906198,-53.331606
660049.000000,0.193605,0.136180,1.612144,1.612144,0.693147,0.693147,1.847001,-2.197243,-1.964008,0.399507,1.861348,6.908541,-45.436675
660050.000000,0.495554,-0.198542,0.806879,0.806879,0.693146,0.693146,2.116005,-2.197131,-0.797984,-0.665979,4.503641,6.912360,-51.029001
660051.000000,1.228801,-0.074186,2.367942,2.367942,0.693149,0.693149,1.890486,-2.197266,-1.538098,0.388343,6.269907,6.904395,-52.752776
660052.000000,-0.086082,0.332968,1.992942,1.992942,0.693147,0.693147,2.203014,-2.197208,-1.554298,1.346716,3.357068,6.904350,-26.729619
660053.000000,1.256520,-0.493662,2.296106,2.296106,0.693147,0.693147,2.313454,-2.197155,-0.881240,-0.561371,6.320050,6.905020,-40.653214
660054.000000,0.553461,-0.768846,0.475522,0.475522,0.693148,0.693148,2.034044,-2.197246,-0.749867,0.266870,1.575945,6.900656,-28.597398
660055.000000,1.661905,0.525327,1.952765,1.952765,0.693145,0.693145,2.000842,-2.197211,-2.115990,0.636375,5.177003,6.908479,-56.863518
660056.000000,0.036390,1.189310,2.817080,2.817080,0.693145,0.693145,1.920646,-2.197259,-0.869953,0.556239,5.941779,6.909173,-83.787436
660057.000000,1.244527,-0.333871,2.724890,2.724890,0.693145,0.693145,2.062646,-2.197285,-0.494425,0.327904,6.996287,6.903426,-59.654807
660058.000000,1.406481,-0.150728,1.911583,1.911583,0.693147,0.693147,2.044603,-2.197153,-1.227227,-0.041881,5.792017,6.903438,-59.172005
660059.000000,1.842605,0.858350,2.896782,2.896782,0.693146,0.693146,1.681487,-2.197273,-0.864816,-0.296290,5.798324,6.903428,-74.111352
660060.000000,1.027161,0.165318,2.485926,2.485926,0.693143,0.693143,2.184282,-2.197236,-0.887450,1.176913,5.052210,6.912542,-47.990729
660061.000000,0.682532,0.842478,2.539463,2.539463,0.693147,0.693147,1.906746,-2.197194,-1.613288,-0.459804,7.463968,6.910099,-76.274718
660062.000000,1.265165,0.052131,2.199017,2.199017,0.693144,0.693144,1.729885,-2.197202,-1.688075,0.160662,1.149037,6.904570,-42.140120
660063.000000,0.285093,0.580151,2.198053,2.198053,0.693148,0.693148,1.757419,-2.197291,-1.789528,0.711790,6.524903,6.907745,-79.854495
660064.000000,0.382572,-0.331181,2.933433,2.933433,0.693148,0.693148,1.765757,-2.197133,-2.067623,0.272039,6.703757,6.907573,-87.797436
660065.000000,0.268109,0.410951,2.032360,2.032360,0.693148,0.693148,1.901421,-2.197196,-1.374094,-0.686586,7.287668,6.911693,-86.479009
660066.000000,1.441887,-0.625219,2.521915,2.521915,0.693144,0.693144,2.110775,-2.197172,-0.541470,1.152465,1.475909,6.908742,-23.443748
660067.000000,1.922690,0.287279,2.211459,2.211459,0.693145,0.693145,2.148221,-2.197210,-0.432965,-0.529076,2.958383,6.907016,-54.553499
660068.000000,1.021947,-0.260308,2.467800,2.467800,0.693146,0.693146,2.176407,-2.197222,-0.954010,-0.447998,0.858400,6.895170,-24.799036
660069.000000,2.203221,0.602019,3.303742,3.303742,0.693147,0.693147,1.685373,-2.197288,-1.747829,-1.338607,6.730046,6.902042,-60.924081
