"ptID","posiSelf","posiOther","dEvSelf","dEvOther","aEvSelf","aEvOther","alphaPrec","genLR","repLR","wp0","wAttr","mem","LL"
660001.000000,0.508750,1.123571,2.747147,2.747147,0.693147,0.693147,2.365857,-2.197174,-0.697102,0.237451,4.421557,6.908026,-53.775725
660002.000000,0.844485,0.786515,2.850099,2.850099,0.693145,0.693145,2.027328,-2.197226,-1.003269,0.774475,5.694766,6.901589,-65.772182
660003.000000,1.521180,1.027620,2.046899,2.046899,0.693145,0.693145,1.935865,-2.197205,-1.897200,0.519412,6.997309,6.901994,-50.781664
660004.000000,0.866398,0.413021,2.315150,2.315150,0.693147,0.693147,2.028377,-2.197180,-0.869460,-0.174984,5.369909,6.903328,-77.195297
660005.000000,-0.184279,0.779791,2.220275,2.220275,0.693151,0.693151,1.818437,-2.197223,-1.299002,-0.112400,5.413420,6.906657,-70.746250
660006.000000,0.944253,1.039881,1.150340,1.150340,0.693149,0.693149,2.327340,-2.197121,-1.477821,0.151093,7.868395,6.909909,-47.153330
660007.000000,1.557130,-0.167729,2.382032,2.382032,0.693147,0.693147,2.116452,-2.197210,-0.993054,0.241243,1.158666,6.911960,-27.948336
660008.000000,-1.054524,-0.100417,2.334881,2.334881,0.693151,0.693151,1.515600,-2.197146,-1.201496,-0.674031,4.355938,6.910267,-74.178981
660009.000000,0.655807,-0.039743,1.869243,1.869243,0.693150,0.693150,1.733337,-2.197177,-0.513480,0.733210,6.611645,6.915165,-95.450399
660010.000000,0.018823,-0.019802,-0.292993,-0.292993,0.693148,0.693148,1.676437,-2.197284,-0.244870,1.153311,1.031981,6.916310,-38.689013
660011.000000,1.270490,0.640407,2.425236,2.425236,0.693149,0.693149,1.861733,-2.197125,-0.941125,0.082699,-0.585433,6.910967,-31.299860
660012.000000,1.130370,0.451424,1.770398,1.770398,0.693147,0.693147,1.957115,-2.197173,-1.631437,0.212534,2.910688,6.908623,-55.531041
660013.000000,1.158221,-0.063318,1.872817,1.872817,0.693149,0.693149,2.020119,-2.197197,-1.664071,0.352269,6.791644,6.919792,-57.019063
660014.000000,1.008222,-0.171805,0.398842,0.398842,0.693150,0.693150,1.997762,-2.197244,-1.722168,-0.216796,7.812341,6.909104,-56.405922
660015.000000,0.619412,-0.574888,1.443686,1.443686,0.693150,0.693150,1.813092,-2.197309,-0.912732,-0.722910,2.674304,6.904507,-46.396680
660016.000000,1.860335,0.153362,2.605420,2.605420,0.693142,0.693142,1.891276,-2.197232,-1.227515,-0.376546,3.846797,6.909902,-64.419251
660017.000000,0.208196,0.326584,1.622963,1.622963,0.693150,0.693150,1.988396,-2.197237,-2.013380,-0.206137,4.366903,6.896413,-80.489258
660018.000000,0.881725,0.597163,2.519996,2.519996,0.693149,0.693149,2.010348,-2.197268,-1.340767,0.439740,2.731400,6.903475,-57.715374
660019.000000,0.118068,0.503114,3.751986,3.751986,0.693150,0.693150,1.808436,-2.197234,-0.233539,0.612412,3.794526,6.901966,-71.793389
660020.000000,-0.040668,-0.126159,1.274115,1.274115,0.693152,0.693152,1.973873,-2.197130,-0.612368,-0.248601,5.490564,6.912245,-65.585935
660021.000000,1.481847,0.390103,2.136049,2.136049,0.693150,0.693150,2.035923,-2.197225,-1.029090,1.336596,5.111974,6.902307,-44.244050
660022.000000,1.376527,-0.414754,2.140923,2.140923,0.693145,0.693145,2.025125,-2.197230,-0.543982,0.378948,5.227462,6.905397,-52.561038
660023.000000,0.978962,0.573485,1.684665,1.684665,0.693148,0.693148,2.042075,-2.197216,-1.462870,1.191336,3.744877,6.906453,-51.969082
660024.000000,0.593824,-1.005346,0.881824,0.881824,0.693147,0.693147,2.018526,-2.197193,-1.180405,0.551946,8.178250,6.903519,-77.896953
660025.000000,0.861394,0.687466,3.621792,3.621792,0.693142,0.693142,1.746252,-2.197199,-0.862003,-0.151047,5.173384,6.913827,-83.700653
660026.000000,0.696456,0.494788,0.720396,0.720396,0.693144,0.693144,1.998713,-2.197337,-1.214368,0.236629,6.507514,6.894961,-62.768029
660027.000000,1.072622,0.822290,2.518021,2.518021,0.693146,0.693146,2.118472,-2.197251,-1.728720,-0.724955,10.261474,6.907464,-62.235269
660028.000000,0.302384,-0.379654,1.694766,1.694766,0.693146,0.693146,2.278744,-2.197265,-0.745197,-0.456835,5.222005,6.909589,-47.294406
660029.000000,2.472763,0.699819,1.179254,1.179254,0.693145,0.693145,2.079420,-2.197227,-1.393946,-0.214276,3.874907,6.910507,-50.315213
