"ptID","posiSelf","posiOther","dEvSelf","dEvOther","aEvSelf","aEvOther","alphaPrec","genLR","repLR","wp0","wAttr","mem","LL","LP","AIC","BIC"
660001.000000,0.617447,0.762467,14.477254,14.477254,2.000000,2.000000,9.962986,0.100000,0.324929,0.225076,4.313668,0.999003,-52.839672,-47.303676,119.679343,128.340421
660002.000000,0.707145,0.683229,18.680614,18.680614,2.000000,2.000000,7.149795,0.100000,0.276197,0.792219,5.829331,0.999003,-64.005227,-58.556813,142.010453,150.671530
660003.000000,0.813211,0.728549,8.232927,8.232927,2.000000,2.000000,7.351291,0.100000,0.137105,0.489176,6.838163,0.999003,-49.398663,-43.754163,112.797326,121.458403
660004.000000,0.711753,0.595055,10.824204,10.824204,2.000000,2.000000,7.157156,0.100000,0.303168,-0.151602,5.497944,0.999003,-75.413488,-69.782347,164.826977,173.488054
660005.000000,0.448166,0.677951,9.825710,9.825710,2.000000,2.000000,6.338371,0.100000,0.206654,-0.134759,5.477554,0.999003,-69.410902,-63.753202,152.821805,161.482882
660006.000000,0.723861,0.738827,3.298811,3.298811,2.000000,2.000000,10.597448,0.100000,0.178341,0.174230,7.957079,0.999003,-46.784429,-41.107648,107.568857,116.229934
660007.000000,0.829587,0.458195,10.826878,10.826878,2.000000,2.000000,8.564420,0.100000,0.278203,0.228830,1.202055,0.999003,-27.655651,-22.132785,69.311302,77.972379
660008.000000,0.258397,0.469404,11.044275,11.044275,2.000000,2.000000,4.439068,0.100000,0.223437,-0.707679,4.249355,0.999003,-72.766550,-67.108739,159.533100,168.194177
660009.000000,0.665764,0.484844,6.123566,6.123566,2.000000,2.000000,5.359891,0.100000,0.367281,0.698719,6.764639,0.999003,-93.919483,-88.203876,201.838967,210.500044
660010.000000,0.509824,0.500123,0.765472,0.765472,2.000000,2.000000,5.069163,0.100000,0.432934,1.196592,0.991545,0.999003,-38.270617,-32.581036,90.541234,99.202312
660011.000000,0.772996,0.647430,10.560004,10.560004,2.000000,2.000000,6.078661,0.100000,0.272864,0.061154,-0.617300,0.999003,-30.587181,-Inf,75.174361,83.835438
660012.000000,0.748000,0.617889,5.558158,5.558158,2.000000,2.000000,6.674330,0.100000,0.156523,0.188404,2.989293,0.999003,-54.316205,-48.581070,122.632409,131.293487
